Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,manufacturer_label,Ţara
823,DEXAMETHASONUM,923,,8232005,9232005,Dexametazon-BP,H02AB02,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
823,DEXAMETHASONUM,923,,8232006,9232006,Dexametazon-BP,H02AB02,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
401,DEXAMETHASONUM,,,4012005,,Dexametazon-BP,H02AB02,Full,Pentru tratamentul în Îngrijiri paliative,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
401,DEXAMETHASONUM,,,4012006,,Dexametazon-BP,H02AB02,Full,Pentru tratamentul în Îngrijiri paliative,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
822,DEXKETOPROFENUM,922,,8221009,9221009,Algodex,M01AE17,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
822,DEXKETOPROFENUM,922,,8221009,9221009,Algodex,M01AE17,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
402,DEXKETOPROFENUM,,,4021009,,Algodex,M01AE17,Full,Pentru tratamentul în Îngrijiri paliative,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
402,DEXKETOPROFENUM,,,4021009,,Algodex,M01AE17,Full,Pentru tratamentul în Îngrijiri paliative,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
,IBUPROFENUM,997,,,9973008,Ibuprofen-BP,M01AE01,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
,IBUPROFENUM,997,,,9973008,Ibuprofen-BP,M01AE01,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
,IBUPROFENUM,997,,,9977009,Ibuprofen-BP,M01AE01,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
